"H200";"Explosif instable"
"H201";"Explosif : danger d'explosion en masse"
"H202";"Explosif : danger sérieux de projection"
"H203";"Explosif : danger d'incendie, d'effet de souffle ou de projection"
"H204";"Danger d'incendie ou de projection"
"H205";"Danger d'explosion en masse en cas d'incendie"
"H220";"Gaz extrêmement inflammable"
"H221";"Gaz inflammable"
"H222";"Aérosol extrêmement inflammable"
"H223";"Aérosol inflammable"
"H224";"Liquide et vapeurs extrêmement inflammables"
"H225";"Liquide et vapeurs très inflammables"
"H226";"Liquide et vapeurs inflammables"
"H227";"Liquide combustible"
"H228";"Matière solide inflammable"
"H229";"Récipient sous pression : peut éclater sous l'effet de la chaleur."
"H230";"Peut exploser même en l'absence d'air."
"H231";"Peut exploser même en l'absence d'air à une pression et/ou une température élevée(s)."
"H240";"Peut exploser en cas d'échauffement"
"H241";"Peut s'enflammer ou exploser en cas d'échauffement"
"H242";"Peut s'enflammer en cas d'échauffement"
"H250";"S'enflamme spontanément au contact de l'air"
"H251";"Matière auto-échauffante; peut s'enflammer"
"H252";"Matière auto-échauffante en grandes quantités; peut s'enflammer"
"H260";"Dégage, au contact de l'eau, des gaz inflammables qui peuvent s'enflammer spontanément"
"H261";"Dégage, au contact de l'eau, des gaz inflammables"
"H270";"Peut provoquer ou aggraver un incendie; comburant"
"H271";"Peut provoquer un incendie ou une explosion; comburant puissant"
"H272";"Peut aggraver un incendie; comburant"
"H280";"Contient un gaz sous pression; peut exploser sous l'effet de la chaleur"
"H281";"Contient un gaz réfrigéré; peut causer des brûlures ou blessures cryogéniques"
"H290";"Peut être corrosif pour les métaux"
"H300";"Mortel en cas d'ingestion"
"H301";"Toxique en cas d'ingestion"
"H302";"Nocif en cas d'ingestion"
"H303";"Peut être nocif en cas d'ingestion"
"H304";"Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires"
"H305";"Peut être nocif en cas d'ingestion et de pénétration dans les voies respiratoires"
"H310";"Mortel par contact cutané"
"H311";"Toxique par contact cutané"
"H312";"Nocif par contact cutané"
"H313";"Peut être nocif par contact cutané"
"H314";"Provoque de graves brûlures de la peau et des lésions oculaires"
"H315";"Provoque une irritation cutanée"
"H316";"Provoque une légère irritation cutanée"
"H317";"Peut provoquer une allergie cutanée"
"H318";"Provoque des lésions oculaires graves"
"H319";"Provoque une sévère irritation des yeux"
"H320";"Provoque une irritation des yeux"
"H330";"Mortel par inhalation"
"H331";"Toxique par inhalation"
"H332";"Nocif par inhalation"
"H333";"Peut être nocif par inhalation"
"H334";"Peut provoquer des symptômes allergiques ou d'asthme ou des difficultés respiratoires par inhalation"
"H335";"Peut irriter les voies respiratoires"
"H336";"Peut provoquer somnolence ou vertiges"
"H340";"Peut induire des anomalies génétiques (indiquer la voie d'exposition s'il est formellement prouvé qu'aucune autre voie d'exposition ne conduit au même danger)"
"H341";"Susceptible d'induire des anomalies génétiques (indiquer la voie d'exposition s'il est formellement prouvé qu'aucune autre voie d'exposition ne conduit au même danger)"
"H350";"Peut provoquer le cancer (indiquer la voie d'exposition s'il est formellement prouvé qu'aucune autre voie d'exposition ne conduit au même danger)"
"H350i";"Peut provoquer le cancer par inhalation."
